docid	document_content
2826	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Bilingual Dictionary"", ""api_description"": ""Powerful multi-language bilingual neural translation dictionary, supporting 80+ languages."", ""required_parameters"": [{""name"": ""q"", ""type"": ""STRING"", ""description"": ""The word or comma separated words (up to 10 words per request) to seek bilingual translations for."", ""default"": ""merci, poisson, beaucoup""}, {""name"": ""from"", ""type"": ""STRING"", ""description"": ""Supported  ISO 639-1 language codes: 'ar', 'az', 'be', 'bg', 'ca', 'ce', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'gl', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'it', 'ja', 'ka', 'kk', 'ko', 'la', 'lt', 'lv', 'mk', 'ms', 'nl', 'nn', 'no', 'pl', 'pt', 'ro', 'ru', 'sh', 'sk', 'sl', 'sr', 'sv', 'ta', 'tg', 'th', 'tr', 'tt', 'uk', 'ur', 'uz', 'vi', 'vo', 'zh'."", ""default"": ""fr""}, {""name"": ""to"", ""type"": ""STRING"", ""description"": ""Supported  ISO 639-1 language codes: 'ar', 'az', 'be', 'bg', 'ca', 'ce', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'gl', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'it', 'ja', 'ka', 'kk', 'ko', 'la', 'lt', 'lv', 'mk', 'ms', 'nl', 'nn', 'no', 'pl', 'pt', 'ro', 'ru', 'sh', 'sk', 'sl', 'sr', 'sv', 'ta', 'tg', 'th', 'tr', 'tt', 'uk', 'ur', 'uz', 'vi', 'vo', 'zh'."", ""default"": ""en""}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""status"": ""str"", ""data"": [{""term"": ""str"", ""translations"": [{""translation"": ""str"", ""confidence"": ""int"", ""is_reliable"": ""bool"", ""_list_length"": 1}], ""_list_length"": 3}], ""message"": ""NoneType""}}"
2827	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Transliterate (Any to Latin)"", ""api_description"": ""Transliteration endpoint provides you with transliteration of text from any language to Latin. Transliterate \""\u3053\u3093\u306b\u3061\u306f\"" to \""kon'nichiha\"" with ease."", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": ""Transliterate any text to Latin."", ""default"": ""\u3053\u3093\u306b\u3061\u306f\u3002""}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""status"": ""str"", ""data"": {""text"": ""str"", ""transliteration"": ""str""}, ""message"": ""NoneType""}}"
2828	"{""category_name"": ""Translation"", ""tool_name"": ""Webit Language"", ""api_name"": ""Autocomplete"", ""api_description"": ""This endpoint provides autocomplete (word completion) for 80+ languages."", ""required_parameters"": [{""name"": ""q"", ""type"": ""STRING"", ""description"": """", ""default"": ""aw""}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""status"": ""str"", ""data"": ""NoneType"", ""message"": ""str""}}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2829	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Accurate Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2830	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Fast Language Detection"", ""api_description"": ""This endpoint will return the Language of the Text"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}], ""optional_parameters"": [], ""method"": ""GET""}"
2831	"{""category_name"": ""Translation"", ""tool_name"": ""Translate_v3"", ""api_name"": ""Translate"", ""api_description"": ""Return Translated Text and the source language if it wasn't specified"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": ""this is accurate and it can improve if it's longer""}, {""name"": ""dest"", ""type"": ""STRING"", ""description"": """", ""default"": ""es""}], ""optional_parameters"": [{""name"": ""src"", ""type"": ""STRING"", ""description"": """", ""default"": ""auto""}], ""method"": ""GET""}"
2832	"{""category_name"": ""Translation"", ""tool_name"": ""Anime Voice Waifu Ai Api"", ""api_name"": ""Get Speaker List"", ""api_description"": ""Get Speaker List"", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""speaker"": ""int""}}"
2833	"{""category_name"": ""Translation"", ""tool_name"": ""Anime Voice Waifu Ai Api"", ""api_name"": ""Get Voice"", ""api_description"": ""Get Voice"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""optional_parameters"": [{""name"": ""speaker"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""method"": ""GET"", ""template_response"": {""messages"": ""str"", ""info"": ""str""}}"
2832	"{""category_name"": ""Translation"", ""tool_name"": ""Anime Voice Waifu Ai Api"", ""api_name"": ""Get Speaker List"", ""api_description"": ""Get Speaker List"", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""speaker"": ""int""}}"
2833	"{""category_name"": ""Translation"", ""tool_name"": ""Anime Voice Waifu Ai Api"", ""api_name"": ""Get Voice"", ""api_description"": ""Get Voice"", ""required_parameters"": [{""name"": ""text"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""optional_parameters"": [{""name"": ""speaker"", ""type"": ""STRING"", ""description"": """", ""default"": """"}], ""method"": ""GET"", ""template_response"": {""messages"": ""str"", ""info"": ""str""}}"
2838	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Account"", ""api_description"": ""This endpoint retrieves an account."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2839	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Get All Orders"", ""api_description"": ""This endpoint retrieves all account orders."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2840	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Rates"", ""api_description"": ""This endpoint retrieves all rates."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""source_language"": ""str"", ""target_language"": ""str"", ""rate"": ""float""}}"
2837	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Get a Specific Order"", ""api_description"": ""This endpoint retrieves a specific order."", ""required_parameters"": [{""name"": ""id"", ""type"": ""string"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET""}"
2838	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Account"", ""api_description"": ""This endpoint retrieves an account."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2839	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Get All Orders"", ""api_description"": ""This endpoint retrieves all account orders."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2840	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Rates"", ""api_description"": ""This endpoint retrieves all rates."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""source_language"": ""str"", ""target_language"": ""str"", ""rate"": ""float""}}"
2837	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Get a Specific Order"", ""api_description"": ""This endpoint retrieves a specific order."", ""required_parameters"": [{""name"": ""id"", ""type"": ""string"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET""}"
2838	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Account"", ""api_description"": ""This endpoint retrieves an account."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2839	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Get All Orders"", ""api_description"": ""This endpoint retrieves all account orders."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2840	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Rates"", ""api_description"": ""This endpoint retrieves all rates."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""source_language"": ""str"", ""target_language"": ""str"", ""rate"": ""float""}}"
2837	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Get a Specific Order"", ""api_description"": ""This endpoint retrieves a specific order."", ""required_parameters"": [{""name"": ""id"", ""type"": ""string"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET""}"
2838	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Account"", ""api_description"": ""This endpoint retrieves an account."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2839	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Get All Orders"", ""api_description"": ""This endpoint retrieves all account orders."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2840	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Rates"", ""api_description"": ""This endpoint retrieves all rates."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""source_language"": ""str"", ""target_language"": ""str"", ""rate"": ""float""}}"
2837	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Get a Specific Order"", ""api_description"": ""This endpoint retrieves a specific order."", ""required_parameters"": [{""name"": ""id"", ""type"": ""string"", ""description"": """", ""default"": """"}], ""optional_parameters"": [], ""method"": ""GET""}"
2838	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Account"", ""api_description"": ""This endpoint retrieves an account."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2839	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Get All Orders"", ""api_description"": ""This endpoint retrieves all account orders."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET""}"
2840	"{""category_name"": ""Translation"", ""tool_name"": ""Nitro"", ""api_name"": ""Rates"", ""api_description"": ""This endpoint retrieves all rates."", ""required_parameters"": [], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""source_language"": ""str"", ""target_language"": ""str"", ""rate"": ""float""}}"
9718	"{""category_name"": ""Weather"", ""tool_name"": ""Test"", ""api_name"": ""aaaaaa"", ""api_description"": ""aaa"", ""required_parameters"": [], ""optional_parameters"": [{""name"": ""id"", ""type"": ""STRING"", ""description"": """", ""default"": ""1""}], ""method"": ""GET""}"
9719	"{""category_name"": ""Weather"", ""tool_name"": ""Weather API - By Any City"", ""api_name"": ""Get Weather Updates"", ""api_description"": ""This endpoint get all necessary weather information"", ""required_parameters"": [{""name"": ""city"", ""type"": ""string"", ""description"": """", ""default"": ""London""}], ""optional_parameters"": [], ""method"": ""GET"", ""template_response"": {""location"": {""name"": ""str"", ""region"": ""str"", ""country"": ""str"", ""lat"": ""float"", ""lon"": ""float"", ""tz_id"": ""str"", ""localtime_epoch"": ""int"", ""localtime"": ""str""}, ""current"": {""last_updated_epoch"": ""int"", ""last_updated"": ""str"", ""temp_c"": ""int"", ""temp_f"": ""int"", ""is_day"": ""int"", ""condition"": {""text"": ""str"", ""icon"": ""str"", ""code"": ""int""}, ""wind_mph"": ""float"", ""wind_kph"": ""float"", ""wind_degree"": ""int"", ""wind_dir"": ""str"", ""pressure_mb"": ""int"", ""pressure_in"": ""float"", ""precip_mm"": ""int"", ""precip_in"": ""int"", ""humidity"": ""int"", ""cloud"": ""int"", ""feelslike_c"": ""float"", ""feelslike_f"": ""float"", ""vis_km"": ""int"", ""vis_miles"": ""int"", ""uv"": ""int"", ""gust_mph"": ""float"", ""gust_kph"": ""float""}}}"
